Coor_ID,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15,Model 16,Model 17,Model 18,Model 19,Model 20,Model 21,Model 22,Model 23,Model 25,Model 26,Model 27,Model 28,Model 29,Model 30,Model 31,Model 32
1,20.56988426,20.58041928,19.57404859,21.10772425,19.98269608,20.18286127,21.18978644,20.18286127,19.93944708,19.46648058,20.45898942,19.6383676,20.23387289,20.30872691,20.08638275,20.01818243,20.16234572,20.15624651,20.08194696,20.08194696,20.0508964,20.0508964,20.52164501,19.93667472,19.908951,20.05034193,20.04646061,20.27379503,20.17454415,20.17454415,19.66997262
2,19.19020107,18.92601186,18.32164759,19.51376995,18.41524605,18.88323837,19.59126545,18.88323837,18.70208006,18.16665659,18.89481237,18.26377756,18.81631043,18.98891405,18.76095651,18.78511094,18.75391146,18.83442626,18.58734645,18.58734645,18.75944685,18.75944685,19.09861548,18.59539793,18.53652148,18.79316242,18.81077505,18.93356012,18.97130144,18.97130144,18.38253691
3,20.31950318,20.25689117,19.30083299,20.80515461,19.65527142,19.93729769,20.86885552,19.93729769,19.68412739,19.16635328,20.14201174,19.32152217,19.90517501,20.02114334,19.76742858,19.71407226,19.89319705,19.89755267,19.75218392,19.75218392,19.76307297,19.76307297,20.23783535,19.63131552,19.62369318,19.77777318,19.81479593,20.0706885,19.93729769,19.93729769,19.43204598
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,19.21188032,19.22229186,18.21966128,19.61324491,18.79073384,18.8604911,19.87301264,18.8604911,18.46537345,18.2259082,19.16971362,18.39041042,18.83342112,18.93337184,18.75481405,18.60644972,18.90786358,18.65902795,18.6267522,18.6267522,18.72722349,18.72722349,19.14212306,18.55022745,18.19155014,18.65746623,18.68974198,18.87506725,0,18.81676268,18.44975615
6,19.28354301,19.31783753,18.2283271,19.38220569,18.8187204,18.66518649,20.11452553,18.66518649,18.02625326,18.56916184,19.13106431,18.552806,19.31097862,19.12895388,19.21864723,18.2747566,17.95502619,16.74574876,17.89857214,17.89857214,18.87570206,18.87570206,19.00918688,18.43831507,17.48651032,18.15182395,17.99881765,18.37394691,18.21144365,18.21144365,18.80289216
7,19.85837746,19.91854964,19.02011667,20.46632403,19.36403183,19.50097543,20.42897578,19.50097543,19.28570425,18.8131451,19.79924273,18.96565047,19.58864008,19.60057078,19.33446447,19.33446447,19.56789106,19.5144623,19.50408778,19.50408778,19.39982392,19.39982392,19.78004988,19.21152647,19.28777916,19.36818164,19.3531386,19.60575802,19.55699781,19.55699781,19.0066298
8,18.0712276,18.13011302,17.30760152,18.61627101,17.63123576,17.75560177,18.59507226,17.75560177,17.55492026,17.12670552,18.02176384,17.27415461,17.8422811,17.84275219,17.5935491,17.57988769,17.79752818,17.7687921,17.75560177,17.75560177,17.66939351,17.66939351,18.0203506,17.47672044,17.54596969,17.63029361,17.61239244,17.85452927,17.80082576,17.80082576,17.30854369
9,17.76751661,17.83251567,16.92774774,18.22867782,17.29544315,17.44394465,18.35203369,17.44394465,17.17303616,16.82242079,17.71912314,0,17.50704592,17.52887043,17.31015096,17.25985972,17.41642679,17.37657337,0,17.33007768,17.34431105,17.34431105,17.65270075,17.0862126,17.12559159,17.26080862,17.25369192,17.42639016,17.43445573,17.43445573,17.01172462
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,18.7297664,18.9145207,17.69370271,18.85645506,18.30555136,18.20525617,19.51101312,18.20525617,17.90533036,17.79975648,18.63906884,17.86837951,18.63666944,18.51813875,18.30459159,17.92260609,18.05601308,17.65915126,17.90101143,17.90101143,18.3760939,18.3760939,18.63474991,17.92932443,17.32323437,17.99746757,18.12703552,18.15438875,18.39192999,18.39192999,18.00034685
14,15.48504281,15.16249588,14.82838673,15.24781732,15.2278824,14.07963134,14.82320364,14.07963134,15.02693847,14.49068928,14.93125088,15.00461136,14.86426957,14.33439954,14.8794201,14.77057547,14.45799602,14.77615725,14.73748351,14.73748351,14.84034767,14.84034767,14.75622234,14.75901322,14.62305711,14.40297565,14.72950955,15.41208102,14.66531912,14.66531912,14.78014423
15,17.31414281,16.75453331,16.63661113,17.01829564,16.7699507,16.0482503,16.58869223,16.0482503,16.88870626,15.93032811,16.25325988,16.92120777,16.06283431,15.64573147,16.75995023,15.77573755,16.10575298,14.39483966,16.36243165,16.36243165,16.60910985,16.60910985,15.96574644,14.71110444,14.02440567,15.8886595,16.50910517,17.03079623,15.23696236,15.23696236,16.13075415
16,16.7672737,16.5656139,15.99014572,16.73284397,16.2946848,15.68765604,15.89300473,15.68765604,15.77741924,15.4101689,16.09220526,16.02580508,16.16967213,15.30155132,15.55567545,15.90366155,15.34376872,15.80979957,15.35811444,15.35811444,16.25164764,16.25164764,15.85980465,16.28648724,15.17366951,15.67167082,15.75856487,16.53159407,15.02980246,15.02980246,15.74380927
17,14.12557415,13.98907439,13.65584288,14.0219282,14.001199,13.16381795,13.66992309,13.16381795,13.86313478,13.36798091,13.70590582,13.71763933,13.70707918,13.17828927,13.70395025,13.626118,13.46967128,13.57801064,13.46849794,13.46849794,13.78021802,13.78021802,13.78569366,13.56588601,13.43055961,13.47358245,13.50839184,14.10210714,13.51699642,13.51699642,13.67930989
18,18.18339296,17.91112638,17.3748834,18.02282548,17.72307047,16.8984169,17.28936377,16.8984169,17.11483392,16.80722505,17.51537994,17.44251372,17.38099195,16.63356784,17.04153138,17.05942069,16.67763663,16.73610413,16.96604722,16.96604722,17.55072224,17.55072224,17.06901983,17.34172273,16.34646623,16.92372372,17.1676292,17.86269434,16.27010942,16.27010942,17.16064801
19,17.83647982,17.62218473,17.01755093,17.80344447,17.32095452,16.68328537,16.90062319,16.68328537,16.7489214,16.38596724,17.09622722,17.05971447,17.19185586,16.2707782,16.53549566,16.89584175,16.32728603,16.75718024,16.37205762,16.37205762,17.28531113,17.28531113,16.86063303,17.27879098,16.16645605,16.66937575,16.77152453,17.55828742,15.98432696,15.98432696,16.77413258
20,15.29577778,14.99866667,14.64166667,15.02005556,15.02277778,13.95022222,14.63311111,13.95022222,14.83455556,14.33677778,14.76883333,14.77388889,14.65061111,14.12483333,14.64244444,14.55144444,14.23488889,14.63427778,14.525,14.525,14.66577778,14.66577778,14.56972222,14.58761111,14.47911111,14.31616667,14.48766667,15.19155556,14.50516667,14.50516667,14.60977778
21,17.51664677,17.06912426,16.57225195,17.19819296,17.05014357,15.88768171,16.61569664,15.88768171,16.81815735,16.14328834,16.79664589,16.74771789,16.64395679,15.92859564,16.41407953,16.65239264,16.04374517,16.67221692,16.37780532,16.37780532,16.69878989,16.69878989,16.53682133,16.70216423,16.35671566,16.11123207,16.41281415,17.32473089,16.24662766,16.24662766,16.42715512
22,17.70449319,17.3577399,16.96581743,17.45629084,17.29614557,16.38135563,16.81570975,16.38135563,16.9051356,16.40553711,16.94847977,17.05068074,16.94665475,16.27915466,16.75913422,16.77738439,16.37816184,16.7043837,16.65784575,16.65784575,16.97494251,16.97494251,16.63320802,16.8731978,16.42104975,16.47762529,16.83350368,17.56579188,16.24995438,16.24995438,16.82209731
23,16.73200358,16.44021673,16.02529841,16.44541946,16.4618948,15.32856516,16.06865456,15.32856516,16.24771544,15.73004307,16.17010794,16.21736614,16.04047306,15.50805961,16.08469634,15.92037654,15.6082123,16.03830526,15.90346764,15.90346764,16.08036072,16.08036072,16.03180183,15.93641832,15.85664301,15.69709239,15.86314644,16.66827005,15.91257244,15.91257244,16.31336903
24,15.39039453,15.18257099,14.83520876,15.33780245,15.20377747,14.32243594,14.95099616,14.32243594,15.08586941,14.51711148,14.90731081,14.84623613,14.93021381,14.29020208,14.868715,14.78388906,14.66173971,14.75928953,14.64138148,14.64138148,14.95778223,14.95778223,15.02097757,14.72408678,14.58624462,14.6630121,14.65198473,15.27969668,14.67064643,14.67064643,14.87931824
25,17.06757917,16.86252198,16.28395293,17.03180854,16.57427729,15.96534481,16.17248168,15.96534481,16.0273195,15.67959574,16.35882168,16.32388292,16.45074386,15.55980574,15.82309418,16.16832231,15.62261231,16.03771793,15.66628575,15.66628575,16.54017043,16.54017043,16.13379949,16.53393136,15.46996325,15.93997262,16.04770043,16.80221105,15.29568544,15.29568544,16.05144387
26,16.81941984,16.48135716,16.09442758,16.52581801,16.42648205,15.37984959,16.00430424,15.37984959,16.23141507,15.665841,16.17653997,16.1036402,16.17053174,15.3526123,15.83567344,16.035547,15.61497138,16.13328077,15.58733355,15.58733355,16.1252698,16.1252698,16.05517386,16.16973066,15.76157203,15.757166,15.8020274,16.58670134,15.65823058,15.65823058,15.99909712
27,15.07055014,14.8497759,14.46362924,14.92059028,14.89518041,13.89253207,14.40739429,13.89253207,14.71981068,14.11580566,14.61275599,14.58609646,14.58776268,13.92002472,14.49403777,14.47445967,14.12122087,14.49403777,14.26243308,14.26243308,14.56151971,14.56151971,14.48862254,14.49487088,14.26159997,14.21327957,14.40906051,15.0422244,14.27826217,14.27826217,14.34657723
28,18.63193556,18.25744213,17.82881576,18.30669424,18.19665351,17.0372325,17.72898043,17.0372325,17.98056547,17.35404329,17.91977685,17.83902116,17.91312116,17.00706004,17.54217743,17.76359002,17.29769179,17.87185589,17.26707562,17.26707562,17.86298164,17.86298164,17.78533193,17.91223374,17.46009061,17.45520976,17.50490558,18.37413855,17.34561275,17.34561275,17.72321217
29,15.50236624,16.03437808,15.92529184,15.94130847,16.1677057,16.01359976,16.22181594,16.01359976,15.90667792,15.45821229,15.91100674,15.67811629,15.8690172,15.50453065,15.60842231,16.1343738,15.62617046,16.22960781,15.51491982,15.51491982,15.76945436,15.76945436,15.79412863,16.20406779,15.71620989,15.92096302,15.30324057,16.36942866,15.87074873,15.87074873,15.70062615
30,17.02664243,17.40354767,17.26390736,17.39942848,17.49458161,17.36935845,17.62845505,17.36935845,17.34175992,16.63326046,17.13950804,17.15722053,17.27626491,16.85363675,16.8659943,17.7128983,16.90265503,17.49128626,16.7963801,16.7963801,17.28903437,17.28903437,17.19676468,17.76974302,17.03652847,17.33805265,16.54964105,17.6025042,17.19182167,17.19182167,16.98956978
31,16.50403652,17.0106196,16.88859916,16.95115115,17.15774895,16.96921195,17.22074146,16.96921195,16.87362192,16.34853753,16.8916827,16.71459888,16.84983454,16.44588959,16.53751506,17.16788062,16.51901375,17.33571379,16.35426413,16.35426413,16.78508,16.78508,16.72957612,17.2797694,16.71988497,16.91679161,16.189955,17.42601774,16.82296361,16.82296361,16.67627477
32,15.79811633,16.28303156,16.16623024,16.22610673,16.42386781,16.24339501,16.48416596,16.24339501,16.15189362,15.64926844,16.16918189,15.9996724,16.12912369,15.7424565,15.83016291,16.43356612,15.81245296,16.59422063,15.6547501,15.6547501,16.06713887,16.06713887,16.01400902,16.54066912,16.00473239,16.19321683,15.49746889,16.68066205,16.1034021,16.1034021,15.96298752
33,18.44480744,19.0104692,18.87409992,18.94400764,19.17440773,18.96419227,19.24530007,18.96419227,18.85686915,18.27102275,18.87705378,18.68013061,18.83126914,18.37933049,18.48271516,19.18573082,18.46006899,19.37428474,18.27742276,18.27742276,18.75889987,18.75889987,18.69736139,19.31126934,18.68653062,18.90659225,18.09477653,19.47471556,18.80714605,18.80714605,18.63631521
34,16.03890535,16.53078338,16.41220182,16.47299092,16.67333811,16.49054271,16.7349834,16.49054271,16.39721859,15.88778878,16.41477038,16.24353347,16.3749578,15.98196908,16.07186847,16.68318424,16.05217622,16.84714358,15.89335398,15.89335398,16.31202823,16.31202823,16.25851669,16.79234777,16.24909867,16.44045592,15.73453174,16.93447441,16.35398127,16.35398127,16.20543325
35,14.57011111,15.01694444,14.90922222,14.96444444,15.14644444,14.98038889,15.20244444,14.98038889,14.89561111,14.43283333,14.91155556,14.756,14.87538889,14.51838889,14.60005556,15.15538889,14.58216667,15.30433333,14.43788889,14.43788889,14.81822222,14.81822222,14.76961111,15.25455556,14.76105556,14.93488889,14.29361111,15.38366667,14.85633333,14.85633333,14.72138889
36,15.48169291,15.84486714,15.75541333,16.0575776,16.02624814,15.99409424,16.17382633,15.99409424,15.62720995,15.13335895,15.78591832,15.842806,15.92607636,15.49076197,15.34730608,15.98049067,15.41779733,16.2447298,14.96393261,14.96393261,15.77355143,15.77355143,15.60865962,16.20721692,15.61278191,15.88114334,15.30113638,16.21587374,15.45860806,15.45860806,15.68450985
37,15.44777533,15.9561727,15.76901291,15.99232337,16.06737033,16.03396528,16.2133458,16.03396528,15.95296947,15.42855599,15.86831285,15.53929601,15.89805707,15.4431993,15.68344108,16.02527081,15.64774802,15.92185245,15.54478726,15.54478726,15.73148943,15.73148943,15.83078937,15.9552575,15.65781529,15.75665762,15.33657771,16.28152872,15.85412714,15.85412714,15.63218949
38,15.86390135,16.41269029,16.29167302,16.32358966,16.54390315,16.40116484,16.59754085,16.40116484,16.29787904,15.82843842,16.28103414,16.05761764,16.23670547,15.85858191,15.98669177,16.51641938,15.99777393,16.60241701,15.8621282,15.8621282,16.14804812,16.14804812,16.15691386,16.59089154,16.08465813,16.2956626,15.65910289,16.7659898,16.25665337,16.25665337,16.06648338
39,18.27553774,18.71259304,18.57870798,18.69852376,18.86780894,18.66584673,19.0035094,18.66584673,18.6141081,17.93560584,18.6141081,18.40306894,18.59186956,18.11986799,18.15481426,18.97037852,18.17932203,19.18867924,18.07448322,18.07448322,18.53060012,18.53060012,18.46433837,19.0979097,18.42439977,18.63861587,17.81896699,19.16417146,18.6436082,18.6436082,18.33998411
40,15.52525523,15.93728035,15.79814962,15.99218951,15.91952777,15.98351964,16.12017327,15.98351964,15.8369576,15.14708387,15.68956985,15.67635863,15.85388448,15.41832686,15.41832686,16.06732836,15.38653735,16.24444136,15.29612302,15.29612302,15.75149748,15.75149748,15.71888227,16.25228553,15.60287119,15.89186676,15.23213115,16.165174,15.66768876,15.66768876,15.49140146
41,16.28083709,16.65120069,16.54940484,16.69451807,16.86692124,16.67719111,17.00510368,16.67719111,16.55936784,16.16561286,16.54334042,16.53337741,16.59705396,16.24704954,16.35880838,16.84309668,16.43158157,16.8327005,16.16907826,16.16907826,16.49872351,16.49872351,16.55157071,16.84049763,16.30985973,16.55157071,16.0525545,17.03239362,16.46147057,16.46147057,16.47446578
42,14.81033564,15.22921727,15.05746724,15.48277344,15.36713127,15.31873288,15.51618118,15.31873288,15.23435693,14.75636929,15.03819354,15.01849154,15.24720606,14.83303577,14.93754202,15.37269923,14.9161268,15.25919857,14.72981442,14.72981442,14.99921785,14.99921785,15.2022341,15.15383572,14.80605259,15.10843546,14.73324086,15.46478466,14.97351959,14.97351959,15.05960876
43,14.4473182,14.87038357,14.74864104,14.85703638,14.95734251,14.87766385,15.09809465,14.87766385,14.84126243,14.40646772,14.66491778,14.65804196,14.78746923,14.54964663,14.67583821,14.95855589,14.64793046,14.87806831,14.49585343,14.49585343,14.66127764,14.66127764,14.70738611,14.96300495,14.5581403,14.76562838,14.33285597,15.17939116,14.70091474,14.70091474,14.59535063
44,14.12856995,14.47930948,14.34243552,14.76324146,14.63044113,14.62596015,14.79338633,14.62596015,14.50415862,14.05687407,14.31310538,14.29518141,14.50945433,14.11879324,14.19497012,14.67239952,14.17378725,14.52819303,14.02021141,14.02021141,14.26911018,14.26911018,14.48949355,14.41046513,14.07561277,14.37502455,14.03691328,14.71191373,14.25403775,14.25403775,14.33428825
45,17.26599895,17.78366161,17.69436254,17.68348345,17.87885352,17.7233734,18.10414103,17.7233734,17.64223364,17.21205687,17.58149212,17.58965143,17.60551676,17.39654785,17.50760508,17.90106496,17.43326473,17.94911421,17.27823791,17.27823791,17.45910253,17.45910253,17.48901999,17.96951247,17.41014669,17.72518658,17.06518935,18.14539086,17.62274195,17.62274195,17.51259131
46,14.53287521,15.12924572,14.80838397,15.05422256,14.93342256,15.0381159,15.13306045,15.0381159,14.77489906,14.20777488,14.4175854,14.94444291,14.95843029,14.50998679,14.45149417,15.09236993,14.43581136,15.18773835,13.88352226,13.88352226,14.910958,14.910958,14.72912222,15.24156852,14.60069276,15.03769204,14.45785206,15.09236993,14.34934399,14.34934399,14.64689345
47,14.99673879,15.50534607,15.29679017,15.53988113,15.58293784,15.58248933,15.69192511,15.58248933,15.51476472,14.96668879,15.35285359,15.08599174,15.47574459,14.97386491,15.18331783,15.57172515,15.22323498,15.44345206,15.07433055,15.07433055,15.29813569,15.29813569,15.34478046,15.53898411,15.21561036,15.27212228,14.90658882,15.79014821,15.33850135,15.33850135,15.14026112
48,17.07683702,17.61935467,17.48101973,17.55206931,17.75439592,17.53042506,17.94401832,17.53042506,17.46925656,17.12106656,17.41373437,17.36432904,17.44949442,17.20152668,17.35115428,17.69699163,17.31774686,17.6894632,17.18129402,17.18129402,17.32480476,17.32480476,17.3916196,17.62311888,17.20905511,17.50783977,16.94508946,17.96283939,17.44478916,17.44478916,17.37891537
49,16.95731566,17.33239301,17.22998836,17.38440807,17.46039882,17.34214583,17.58799826,17.34214583,17.25518315,16.57614281,17.20154263,17.09832524,17.26371688,16.78623488,16.76916744,17.64854703,16.83174806,17.70056209,16.73503256,16.73503256,17.23283293,17.23283293,17.17065868,17.71966138,17.01258166,17.31004279,16.50909215,17.70625125,17.18528792,17.18528792,16.95325199
50,19.58825208,20.14038004,19.70312117,20.13612563,20.12383511,20.05481911,20.31575631,20.05481911,20.02031112,19.13019386,19.7390473,19.7466107,19.88936981,19.5041093,19.53010846,20.46749695,19.53719916,19.63835958,19.35945934,19.35945934,19.99809364,19.99809364,19.85958894,20.43440709,19.63410517,19.8425713,19.11459436,20.42731641,19.72912035,19.72912035,19.42611176
51,15.20809068,15.18183421,14.87321311,15.28126444,15.13190388,14.92228257,15.95360221,14.92228257,15.53780305,14.92658691,15.32086436,14.95800859,15.0763779,15.82231987,14.98168245,15.36993382,15.06475619,15.45171627,14.39155757,14.39155757,15.18915159,15.18915159,15.59031599,15.43363805,15.15471688,15.05270404,15.14869081,15.64110718,15.52919437,15.52919437,14.81897844
52,16.18282873,16.21518144,15.90071304,16.35020012,16.15565245,15.82134104,17.02313661,15.82134104,16.59866898,15.88130141,16.39204296,15.92486973,16.08275098,16.71082506,15.88130141,16.50376767,16.0145946,16.68666836,15.12338511,15.12338511,16.22294609,16.22294609,16.73109942,16.62023745,16.22812253,16.09741756,16.1237311,16.71945244,16.52231656,16.52231656,15.73722397
53,15.88467438,15.79979862,15.46264237,15.99536488,15.85025471,15.35742772,16.57463217,15.35742772,16.15690262,15.48259014,15.99692942,15.61753085,15.71140267,15.96368315,15.3511696,16.20696758,15.58389346,16.38063043,14.76838213,14.76838213,15.90696893,15.90696893,16.37476343,15.83656507,15.8224843,15.79901635,15.69653963,16.39040874,16.02469982,16.02469982,14.55013018
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,14.48688889,13.95527778,14.61288889,15.17172222,14.71555556,13.94438889,15.59833333,13.94438889,15.04883333,14.48961111,14.40133333,14.58566667,14.88433333,14.78788889,14.07855556,15.25688889,14.63311111,14.50594444,13.67411111,13.67411111,15.07411111,15.07411111,15.45638889,14.85866667,14.41533333,15.09394444,14.7525,15.31366667,14.82016667,14.82016667,12.35188889
56,14.57663606,14.55146907,14.26266759,14.646361,14.50443569,14.30351237,15.29162602,14.30351237,14.89349255,14.30681296,14.6851429,14.33693083,14.45080113,15.16620367,14.36044753,14.73258886,14.44007422,14.81015269,13.79398404,13.79398404,14.55930797,14.55930797,14.94382652,14.79241203,14.52588952,14.42810958,14.52011349,14.99168506,14.8848285,14.8848285,14.20490729
57,17.01000883,16.96982303,16.65883976,17.04014818,16.84606904,16.60221431,17.90779608,16.60221431,17.33651844,16.86113871,16.95384004,16.92141741,16.86433532,17.81189815,16.86707525,17.21504772,16.94196697,17.14563589,16.24784865,16.24784865,16.99037259,16.99037259,17.36209122,16.94333693,16.86707525,16.87620839,17.03923486,17.56028026,17.45798914,17.45798914,16.56476846
58,15.34051202,15.35627957,15.09392507,15.50344337,15.2888295,15.05932406,16.14421907,15.05932406,15.76185599,15.12589816,15.50869923,15.14035174,15.28663956,15.96902408,15.16181313,15.57702527,15.24722069,15.67863838,14.50307994,14.50307994,15.4149699,15.4149699,15.81660444,15.65630101,15.36547731,15.22619729,15.34751983,15.78025147,15.64578931,15.64578931,14.9664707
59,17.17702012,16.96919011,16.76437839,17.40468451,17.15977281,16.60440966,17.91822296,16.60440966,17.48445328,16.71565477,17.31715446,16.90365036,17.07871049,17.21323945,16.58974945,17.56939626,16.84500953,17.72807145,15.82698749,15.82698749,17.26196308,17.26196308,17.79102409,17.10673736,17.03731696,17.10759973,16.98643742,17.77636389,17.318448,17.318448,15.35096192
60,15.63621001,15.63829212,15.35012846,15.79778155,15.62704874,15.27558901,16.42866008,15.27558901,15.99058469,15.34513141,15.82193399,15.3934363,15.54001666,15.99641459,15.32514317,15.94519474,15.42675001,16.10218565,14.54060511,14.54060511,15.69908965,15.69908965,16.21212091,15.98142342,15.64453845,15.52419264,15.57499605,16.18588636,15.92853789,15.92853789,15.14858046
61,16.5451192,16.50602754,16.23663502,16.57868703,16.37728001,16.10023914,17.44422732,16.10023914,16.92626286,16.38195401,16.52004954,16.48690662,16.4129724,17.21817557,16.37515547,16.78901715,16.38407857,16.79284133,15.69487564,15.69487564,16.54384447,16.54384447,16.97640216,16.51155136,16.5000788,16.43889186,16.56254048,17.12597024,16.91606504,16.91606504,15.9574696
62,16.59332321,16.54220255,16.24348006,16.6124379,16.42084654,16.18302432,17.45037227,16.18302432,16.88404421,16.41773484,16.50797393,16.48263586,16.43507142,17.37791428,16.436405,16.77202328,16.50219507,16.71067848,15.84296076,15.84296076,16.53553464,16.53553464,16.92360716,16.56487346,16.46129854,16.43462689,16.60488094,17.098751,16.99784325,16.99784325,16.18658053
