index, depots, plants, distance 
1,1,1,1752.5209157212755 
2,1,2,1752.5237393208479 
3,1,3,410.92153853833696 
4,1,4,117.7990756280684 
5,1,5,121.69406231088055 
6,1,6,120.38851853590675 
7,1,7,116.30594562723192 
8,1,8,111.12158956894073 
9,1,9,1142.8552479231914 
10,1,10,441.40240288987496 
11,1,11,437.73553619892266 
12,3,1,1752.9394747506828 
13,3,2,1752.9426472465625 
14,3,3,416.47425641500797 
15,3,4,123.48266929831446 
16,3,5,127.87383070487428 
17,3,6,126.16446439773155 
18,3,7,122.0329420212425 
19,3,8,115.79427802870124 
20,3,9,1145.079999025543 
21,3,10,440.1015145932452 
22,3,11,436.57171589351566 
23,50,1,84.48986278831532 
24,50,2,84.49727555647941 
25,50,3,1449.7458103823185 
26,50,4,1600.3355071657736 
27,50,5,1615.3080007293306 
28,50,6,1601.6335446489586 
29,50,7,1602.3427514247962 
30,50,8,1583.6732389204685 
31,50,9,646.2983770838415 
32,50,10,1246.504231802097 
33,50,11,1247.0055586521514 
34,64,1,134.85835183901412 
35,64,2,134.87610115113932 
36,64,3,1406.836879568657 
37,64,4,1553.1056046989293 
38,64,5,1568.2508646961248 
39,64,6,1554.457390018566 
40,64,7,1555.1061598428007 
41,64,8,1536.1296592517276 
42,64,9,613.7321097931994 
43,64,10,1196.5678801717684 
44,64,11,1197.1836793663858 
45,74,1,138.31121262517027 
46,74,2,138.33727795871857 
47,74,3,1409.6599792783727 
48,74,4,1553.5998584611275 
49,74,5,1568.852807564709 
50,74,6,1554.985686807875 
51,74,7,1555.5959492764935 
52,74,8,1536.4221639878565 
53,74,9,620.5928764163131 
54,74,10,1195.0176407135243 
55,74,11,1195.7432380147025 
56,98,1,85.02488848106573 
57,98,2,84.947126426162 
58,98,3,1477.442873878087 
59,98,4,1641.6464277062328 
60,98,5,1655.965624205617 
61,98,6,1642.7457832588655 
62,98,7,1643.6749486215679 
63,98,8,1626.174981912255 
64,98,9,653.2614904898077 
65,98,10,1299.8233384361793 
66,98,11,1299.756221753547 
67,179,1,97.92630198396411 
68,179,2,97.92017494991934 
69,179,3,1433.8751603374835 
70,179,4,1586.4868787774549 
71,179,5,1601.3534053033457 
72,179,6,1587.7519729425542 
73,179,7,1588.4980386152658 
74,179,8,1570.0231825746791 
75,179,9,628.1031805251254 
76,179,10,1234.8443066963036 
77,179,11,1235.2254576826383 
78,562,1,127.39125391824777 
79,562,2,127.45797445076613 
80,562,3,1468.4873631408486 
81,562,4,1604.3804713953414 
82,562,5,1620.0239142010494 
83,562,6,1605.8923440715162 
84,562,7,1606.358529154243 
