index, parcels, plants, distance 
1,1.0,1.0,1752.5209157212755 
2,1.0,2.0,1752.5237393208479 
3,1.0,3.0,410.92153853833696 
4,1.0,4.0,117.7990756280684 
5,1.0,5.0,121.69406231088055 
6,1.0,6.0,120.38851853590675 
7,1.0,7.0,116.30594562723192 
8,1.0,8.0,111.12158956894073 
9,1.0,9.0,1142.8552479231914 
10,1.0,10.0,441.40240288987496 
11,1.0,11.0,437.73553619892266 
12,2.0,1.0,1766.1659610297886 
13,2.0,2.0,1766.1687385451994 
14,2.0,3.0,418.8320867077519 
15,2.0,4.0,125.80268428735113 
16,2.0,5.0,127.8637337983219 
17,2.0,6.0,128.0903871834382 
18,2.0,7.0,124.18510604132084 
19,2.0,8.0,121.4957808490885 
20,2.0,9.0,1155.7617506276808 
21,2.0,10.0,454.8220949804642 
22,2.0,11.0,451.2057375705244 
23,3.0,1.0,1752.9394747506828 
24,3.0,2.0,1752.9426472465625 
25,3.0,3.0,416.47425641500797 
26,3.0,4.0,123.48266929831446 
27,3.0,5.0,127.87383070487428 
28,3.0,6.0,126.16446439773155 
29,3.0,7.0,122.0329420212425 
30,3.0,8.0,115.79427802870124 
31,3.0,9.0,1145.079999025543 
32,3.0,10.0,440.1015145932452 
33,3.0,11.0,436.57171589351566 
34,4.0,1.0,1766.572783523096 
35,4.0,2.0,1766.5759069885898 
36,4.0,3.0,424.26993117084396 
37,4.0,4.0,131.1257633584291 
38,4.0,5.0,133.74514686541377 
39,4.0,6.0,133.51963302828025 
40,4.0,7.0,129.55017375934506 
41,4.0,8.0,125.76921301935951 
42,4.0,9.0,1157.951786103764 
43,4.0,10.0,453.5520708315504 
44,4.0,11.0,450.0689535999981 
45,5.0,1.0,1754.3283834358244 
46,5.0,2.0,1754.3326008577687 
47,5.0,3.0,433.31835760228125 
48,5.0,4.0,141.08032573636547 
49,5.0,5.0,146.698557748342 
50,5.0,6.0,143.98375436642897 
51,5.0,7.0,139.74499135225471 
52,5.0,8.0,130.88436899467862 
53,5.0,9.0,1151.9438761518165 
54,5.0,10.0,436.78452177505227 
55,5.0,11.0,433.6746911147098 
56,6.0,1.0,1761.1416987361602 
57,6.0,2.0,1761.1458876640754 
58,6.0,3.0,437.0299746519167 
59,6.0,4.0,144.32128673262855 
60,6.0,5.0,149.1321884534005 
61,6.0,6.0,147.09965383496723 
62,6.0,7.0,142.92037394969705 
63,6.0,8.0,135.23142194809452 
64,6.0,9.0,1158.3415029223804 
65,6.0,10.0,443.55860788408825 
66,6.0,11.0,440.46657158247064 
67,7.0,1.0,1761.6545871599549 
68,7.0,2.0,1761.659122815326 
69,7.0,3.0,442.66423507507847 
70,7.0,4.0,150.21034365352884 
71,7.0,5.0,155.3898641534985 
72,7.0,6.0,153.05414581186042 
73,7.0,7.0,148.84348261619292 
74,7.0,8.0,140.39517657946215 
75,7.0,9.0,1160.688130549233 
76,7.0,10.0,442.66972210564774 
77,7.0,11.0,439.71842397350076 
78,8.0,1.0,1769.0061141468068 
79,8.0,2.0,1769.0109657447053 
80,8.0,3.0,452.027558869707 
81,8.0,4.0,159.40042646817682 
82,8.0,5.0,164.18730267134086 
83,8.0,6.0,162.19039700639843 
84,8.0,7.0,158.00613758637195 
85,8.0,8.0,149.92186293745965 
86,8.0,9.0,1169.4512865671131 
87,8.0,10.0,448.68492547059765 
88,8.0,11.0,445.8888749214148 
89,9.0,1.0,1775.8148083435033 
90,9.0,2.0,1775.8196294402308 
91,9.0,3.0,455.7919674139227 
92,9.0,4.0,162.84878241287572 
93,9.0,5.0,166.9243751763738 
94,9.0,6.0,165.52638841473103 
95,9.0,7.0,161.399398540665 
96,9.0,8.0,154.3357016435461 
97,9.0,9.0,1175.83280640774 
98,9.0,10.0,455.48475869783636 
99,9.0,11.0,452.70154728477615 
100,10.0,1.0,1762.7563382226276 
101,10.0,2.0,1762.7615664521127 
102,10.0,3.0,454.0233762018057 
103,10.0,4.0,162.18880469595794 
104,10.0,5.0,168.01842914995473 
105,10.0,6.0,165.1457596681137 
106,10.0,7.0,160.88415705507015 
107,10.0,8.0,151.09748986125234 
108,10.0,9.0,1165.483829158279 
109,10.0,10.0,441.1968983819521 
110,10.0,11.0,438.53048630964344 
111,11.0,1.0,1769.5641445764697 
112,11.0,2.0,1769.5693405488278 
113,11.0,3.0,457.6660113783267 
114,11.0,4.0,165.29180653718123 
115,11.0,5.0,170.41489646750412 
116,11.0,6.0,168.14066934935423 
117,11.0,7.0,163.9282691095444 
118,11.0,8.0,155.172855850275 
119,11.0,9.0,1171.8472115690308 
120,11.0,10.0,448.0078185076851 
121,11.0,11.0,445.35243887912117 
122,12.0,1.0,1776.3678991798124 
123,12.0,2.0,1776.3730634914052 
124,12.0,3.0,461.3838726488945 
125,12.0,4.0,168.61821895425274 
126,12.0,5.0,173.05241794872833 
127,12.0,6.0,171.35944694015507 
128,12.0,7.0,167.1998974014008 
129,12.0,8.0,159.4392254663391 
130,12.0,9.0,1178.2136597094973 
131,12.0,10.0,454.81408601253185 
132,12.0,11.0,452.16953908335586 
133,13.0,1.0,1763.345166232009 
134,13.0,2.0,1763.3507402788293 
135,13.0,3.0,459.74599640288466 
136,13.0,4.0,168.26386983869 
137,13.0,5.0,174.38104338728792 
138,13.0,6.0,171.2699123991582 
139,13.0,7.0,166.9876240568088 
140,13.0,8.0,156.61035720794658 
141,13.0,9.0,1167.9324862296298 
142,13.0,10.0,440.613968683627 
143,13.0,11.0,438.0915211144055 
144,14.0,1.0,103.03194001349158 
145,14.0,2.0,103.07323361010765 
146,14.0,3.0,1451.1115319659286 
147,14.0,4.0,1594.7995062634939 
148,14.0,5.0,1610.0904898437648 
149,14.0,6.0,1596.197692392955 
150,14.0,7.0,1596.793915507395 
151,14.0,8.0,1577.5435886335677 
152,14.0,9.0,659.3379933058125 
153,14.0,10.0,1235.0323342732145 
154,14.0,11.0,1235.8453355902511 
155,15.0,1.0,109.10111665112973 
156,15.0,2.0,109.14004872714634 
157,15.0,3.0,1444.444343602782 
158,15.0,4.0,1587.9829492107062 
159,15.0,5.0,1603.276456828241 
160,15.0,6.0,1589.3818943460249 
161,15.0,7.0,1589.977258799606 
162,15.0,8.0,1570.7233886578435 
163,15.0,9.0,653.4223080467593 
164,15.0,10.0,1228.2438161639052 
165,15.0,11.0,1229.0515797871578 
166,16.0,1.0,115.25944451072354 
167,16.0,2.0,115.29623010398687 
168,16.0,3.0,1437.7690294920862 
169,16.0,4.0,1581.1578225521648 
170,16.0,5.0,1596.4538264972755 
171,16.0,6.0,1582.5575176322122 
172,16.0,7.0,1583.1520336666013 
173,16.0,8.0,1563.8946806741133 
174,16.0,9.0,647.5138710118554 
175,16.0,10.0,1221.4480542997878 
176,16.0,11.0,1222.2504632565285 
177,17.0,1.0,89.50016611543994 
178,17.0,2.0,89.5547024428996 
179,17.0,3.0,1472.5573737276507 
180,17.0,4.0,1615.5648766681138 
181,17.0,5.0,1630.8996315287116 
182,17.0,6.0,1616.9771418864727 
183,17.0,7.0,1617.5573553554427 
184,17.0,8.0,1598.2233840691974 
185,17.0,9.0,680.4813416391315 
186,17.0,10.0,1254.7594053272705 
187,17.0,11.0,1255.6401380730654 
188,18.0,1.0,94.96828877449134 
189,18.0,2.0,95.01960936884333 
190,18.0,3.0,1465.8857565809387 
191,18.0,4.0,1608.7431207570344 
192,18.0,5.0,1624.080519177659 
193,18.0,6.0,1610.1561870427088 
194,18.0,7.0,1610.7354924020335 
195,18.0,8.0,1591.3977194561073 
196,18.0,9.0,674.537331911164 
197,18.0,10.0,1247.9603792754444 
198,18.0,11.0,1248.836298131627 
199,19.0,1.0,100.59863026456836 
200,19.0,2.0,100.64701110045151 
201,19.0,3.0,1459.2245790767918 
202,19.0,4.0,1601.9298384057686 
203,19.0,5.0,1617.269933772488 
204,19.0,6.0,1603.3437227059105 
205,19.0,7.0,1603.9221006079324 
206,19.0,8.0,1584.5804342245954 
207,19.0,9.0,668.6195958091986 
208,19.0,10.0,1241.1694028641155 
209,19.0,11.0,1242.04049783805 
210,20.0,1.0,106.37216239975274 
211,20.0,2.0,106.41784765476885 
212,20.0,3.0,1452.5552929499943 
213,20.0,4.0,1595.1079756435731 
214,20.0,5.0,1610.450742524108 
215,20.0,6.0,1596.522669633992 
216,20.0,7.0,1597.1001294877783 
217,20.0,8.0,1577.754625519325 
218,20.0,9.0,662.708639645563 
219,20.0,10.0,1234.3710797625738 
220,20.0,11.0,1235.2372402995366 
221,21.0,1.0,112.25947423036972 
222,21.0,2.0,112.30270121513078 
223,21.0,3.0,1445.896462125779 
224,21.0,4.0,1588.2945596952725 
225,21.0,5.0,1603.6400522430324 
226,21.0,6.0,1589.710080572535 
227,21.0,7.0,1590.286602741376 
228,21.0,8.0,1570.937168141787 
229,21.0,9.0,656.824840158868 
230,21.0,10.0,1227.5807822126894 
231,21.0,11.0,1228.44199703576 
232,22.0,1.0,118.2567951600901 
